14,72128
12,58266
11,51876
10,47610
9,41386
8,38148
6,33328
6,29738
5,29104
4,26582
4,23238
4,22132
4,21292
4,19216
4,17386
4,15146
3,14746
3,13894
3,12516
3,13002
3,11572
3,10994
3,11224
3,11722
4,13074
5,14646
7,16222
9,19060
10,20130
14,22378
17,23534
18,17975
21,18652
18,19948
16,21634
13,23169
13,24085
11,24419
12,24635
11,29096
12,28377
14,33113
18,38260
19,44012
18,42135
16,38815
16,41199
18,46241
22,55264
21,69732
21,70056
18,66461
18,58802
17,55431
14,53177
12,45668
10,37948
8,32941
7,27854
6,23147
6,20610
5,18864
5,17107
4,16459
4,15763
4,14776
3,13451
3,12106
3,10695
3,10027
3,8722
3,8425
3,8116
3,7787
3,7884
4,8060
5,8994
5,10103
6,11904
8,13188
11,14843
15,16001
18,17453
21,21916
19,22954
18,24886
15,27419
16,28910
15,34586
16,37732
13,44161
16,44044
17,48904
20,56444
28,71594
28,95757
28,88731
27,75614
32,79783
44,90150
40,108307
35,111361
30,95418
48,80559
60,74823
100,78779
90,89607
67,78584
56,53142
44,36251
31,24974
31,18274
23,15164
19,12821
18,11068
16,10480
15,11735
6,9614
7,9325
8,9580
11,11868
19,15499
13,17843
16,20050
14,19261
12,16533
11,15524
13,14118
14,13193
12,12952
14,13159
17,12347
19,13036
23,13049
24,14589
30,16570
23,19194
23,17281
21,18187
14,18612
16,21410
20,22623
14,22722
15,21320
16,22305
15,22219
12,20886
13,19852
11,22720
10,19194
10,18353
9,16910
8,16101
7,14108
7,12602
9,13347
7,13017
7,14098
6,14580
6,15359
6,15994
7,18148
7,19177
6,19313
6,20134
5,19937
5,20373
5,21266
4,19685
10,20152
4,19188
4,19672
4,19896
4,20103
4,22376
4,25263
5,30554
7,35221
8,37762
9,40069
9,42753
10,43062
10,40878
11,39438
13,36222
17,34019
18,30002
18,39606
19,37639
16,35684
14,36616
15,39986
14,44242
15,47047
12,43297
15,52671
13,55027
15,62539
19,79184
23,113921
23,93323
16,69158
11,48685
9,34720
7,25809
7,23719
7,23930
7,23620
7,25789
7,28073
8,31342
8,32433
8,34811
9,38128
9,40953
9,42072
9,44980
8,47787
8,53380
8,54062
7,53992
6,51879
6,45240
5,40250
4,37830
4,34570
6,34995
4,33011
4,32613
4,32040
4,29647
4,28923
4,31572
7,35788
7,37529
8,38334
10,39760
12,44666
13,46154
16,57259
20,63472
22,75736
26,109460
27,139349
25,140147
26,137393
28,165087
30,185776
30,167327
28,151793
26,130083
22,112565
15,92119
12,67757
10,57788
9,58208
8,59247
9,61996
8,57705
